account_number,client_name,open_date,first_name,middle_name,last_name,ssn,address_line_1,address_line_2,city,state,zipcode,record_type,match_code,match_score,consumer_id,consumer_type,notification_number,notice_type,case_number,chapter,original_chapter,date_filed,conversion_date,status,status_date,pd_ssn,pd_first_name,pd_middle_name,pd_last_name,pd_suffix,pd_aka,pd_aka2,pd_dba,pd_dba2,pd_address_line_1,pd_address_line_2,pd_city,pd_state,pd_zipcode,pd_phone,sd_ssn,sd_first_name,sd_middle_name,sd_last_name,sd_suffix,sd_aka,sd_aka2,sd_dba,sd_dba2,sd_address_line_1,sd_address_line_2,sd_city,sd_state,sd_zipcode,sd_phone,judge_name,prose_indicator,attorney_ssn,attorney_first_name,attorney_middle_name,attorney_last_name,attorney_suffix,attorney_aka,attorney_aka2,attorney_dba,attorney_dba2,attorney_address_line_1,attorney_address_line_2,attorney_city,attorney_state,attorney_zipcode,attorney_phone,creditor_meeting_time,creditor_address_line_1,creditor_address_line_2,creditor_city,creditor_state,creditor_zipcode,creditor_phone,trustee_name,trustee_address_line_1,trustee_address_line_2,trustee_city,trustee_state,trustee_zipcode,trustee_phone,court_id,court_district,court_address_line_1,court_address_line_2,court_city,court_state,court_zipcode,court_phone,confirmation_date,asset_indicator,before_open,sasf,active_status,disposition_text,poc_bar_date
1000011,GECOM,2010-01-06,Susan,B,Davis,192352716,"6067 Cedar Ln, Apt 1","6067 Cedar Ln, Apt 1",Phoenix,AZ,85251,Closed,P1,83,CID-100170,SME,NOTIF-1010,Conversion,21-24053,7,7,2010-01-05,,Pending,2010-01-06,765053697,Linda,H,King,,,,,,7896 Walnut Pl,,Aurora,IL,60506,555-6198,,,,,,,,,,,,,,,,Hon. Sarah Justice,Y,766547575,Counselor,L,Lawyer,Esq,,,Attorney Pro,,1887 Maple Dr,,Los Angeles,CA,92101,555-3452,10:00 AM,Federal Building,Rm 333,Glendale,AZ,85281,555-9670,Trustee Maria,812 Trustee Way,,Tempe,AZ,85281,555-8747,TXEB,Western District,200 Court St,,Glendale,AZ,85001,555-5451,,N,N,Complex,N,Case Closed,2010-06-09
1000012,VP,2010-01-07,Emily,A,Anderson,455293889,"9232 Birch Way, Apt 1","9232 Birch Way, Apt 1",Austin,TX,76101,Reopened,P1,97,CID-100187,Business,NOTIF-1011,Conversion,22-31966,7,7,2010-01-05,,Pending,2010-01-07,647832061,Karen,C,Reeves,,,,,,"4681 Walnut Pl, Apt 301","4681 Walnut Pl, Apt 301",Fort Lauderdale,FL,33701,555-7913,,,,,,,,,,,,,,,,Hon. Michael Brown,N,440727571,Counselor,L,Lawyer,Esq,,,Law Partner,,"3012 Walnut Pl, Suite 100","3012 Walnut Pl, Suite 100",Tempe,AZ,85001,555-5719,10:00 AM,Federal Building,Rm 142,Houston,TX,78201,555-6444,Trustee Tom,239 Trustee Way,,Houston,TX,77001,555-1645,TXEB,Western District,200 Court St,,Houston,TX,78701,555-7103,,N,N,Standard,N,Case Closed,2010-04-14
1000013,DM,2010-01-08,Jennifer,D,Taylor,958254837,5440 Pine Rd,,Chicago,IL,61602,Closed,P1,81,CID-100204,Partnership,NOTIF-1012,Discharge,23-82816,13,13,2010-01-05,,Active,2010-01-08,404845486,Jessica,K,Nelson,,,,,,"8698 Spruce St, Apt 1","8698 Spruce St, Apt 1",Reading,PA,19601,555-9038,,,,,,,,,,,,,,,,Hon. Patricia Evans,N,841269110,Counselor,L,Lawyer,Esq,,,Esq Lawyer,,"7456 Ash Ct, Apt 301","7456 Ash Ct, Apt 301",Chandler,AZ,85301,555-7931,10:00 AM,Federal Building,Rm 482,Chicago,IL,62701,555-7001,Trustee David,477 Trustee Way,,Peoria,IL,62701,555-2140,NDIL,Western District,200 Court St,,Naperville,IL,60540,555-2734,21-02-2010,Y,N,Standard,Y,Case in Progress,2010-04-21
1000014,FD,2010-01-09,Joshua,A,Collins,107606691,5094 Spruce St,,San Antonio,TX,77001,New,P2,87,CID-100221,Business,NOTIF-1013,Conversion,23-30991,7,7,2010-01-06,,Converted,2010-01-09,470448556,Robert,S,Jackson,,,,,,"7827 Birch Way, Apt 2","7827 Birch Way, Apt 2",Long Beach,CA,95814,555-3899,,,,,,,,,,,,,,,,Hon. Patricia Evans,N,615481523,Counselor,L,Lawyer,Esq,,,Legal Expert,,"4365 Pine Rd, Apt 2","4365 Pine Rd, Apt 2",Glendale,AZ,85201,555-6256,10:00 AM,Federal Building,Rm 179,Houston,TX,76101,555-1535,Trustee Patricia,245 Trustee Way,,Fort Worth,TX,77001,555-9371,SDOH,Southern District,200 Court St,,Dallas,TX,76101,555-4950,,N,N,Standard,N,Under Review,2010-04-12
1000015,GECOM,2010-01-09,Donald,M,Collins,603340618,"2976 Oak Ave, Apt 1","2976 Oak Ave, Apt 1",Springfield,IL,60506,Update,P2,98,CID-100238,Corporate,NOTIF-1014,Bankruptcy,22-33827,7,7,2010-01-06,,Dismissed,2010-01-09,760146355,Linda,C,King,,,,,,"2904 Oak Ave, Apt 301","2904 Oak Ave, Apt 301",Allentown,PA,19601,555-2234,,,,,,,,,,,,,,,,Hon. Elizabeth Davis,N,691265526,Counselor,L,Lawyer,Esq,,,Esq Lawyer,,"2828 Pine Rd, Apt 301","2828 Pine Rd, Apt 301",Fort Lauderdale,FL,32801,555-4874,10:00 AM,Federal Building,Rm 395,Rockford,IL,62701,555-6246,Trustee James,373 Trustee Way,,Aurora,IL,60601,555-9013,SDOH,Southern District,200 Court St,,Springfield,IL,62701,555-7440,,Y,N,Complex,N,Case in Progress,2010-06-18
1000016,VP,2010-01-10,Joseph,H,Martinez,720202856,"8261 Spruce St, Apt 301","8261 Spruce St, Apt 301",San Francisco,CA,95814,Reopened,M1,85,CID-100255,Partnership,NOTIF-1015,Discharge,23-19159,11,7,2010-01-07,07-01-2011,Converted,2010-01-10,915770662,Catherine,W,Green,,,,,,"1943 Cedar Ln, Apt 1","1943 Cedar Ln, Apt 1",Orlando,FL,33701,555-9502,,,,,,,,,,,,,,,,Hon. James Wilson,Y,130148921,Counselor,L,Lawyer,Esq,,,Counselor,,"6068 Birch Way, Apt 301","6068 Birch Way, Apt 301",Fort Worth,TX,75201,555-3207,10:00 AM,Federal Building,Rm 119,Los Angeles,CA,92101,555-9010,Trustee Susan,631 Trustee Way,,Oakland,CA,94601,555-8182,MDD,Western District,200 Court St,,Long Beach,CA,92101,555-9426,23-03-2010,Y,N,Standard,N,Under Review,2010-04-14
1000017,DM,2010-01-10,Sarah,J,Robinson,424381197,"3971 Birch Way, Apt 301","3971 Birch Way, Apt 301",Oakland,CA,94601,Closed,M1,94,CID-100272,Individual,NOTIF-1016,Conversion,21-37531,13,13,2010-01-09,,Active,2010-01-10,124524881,Charles,D,Phillips,,,,,,"2843 Spruce St, Apt 301","2843 Spruce St, Apt 301",Fort Lauderdale,FL,33101,555-2515,,,,,,,,,,,,,,,,Hon. Elizabeth Davis,N,397624249,Counselor,L,Lawyer,Esq,,,Law Partner,,1028 Spruce St,,Chicago,IL,60540,555-4159,10:00 AM,Federal Building,Rm 340,Los Angeles,CA,94101,555-9189,Trustee Maria,723 Trustee Way,,Los Angeles,CA,94101,555-7517,TXEB,Western District,200 Court St,,Long Beach,CA,94101,555-2893,06-03-2010,Y,N,Complex,Y,Under Review,2010-05-31
1000018,FD,2010-01-11,Kevin,A,Johnson,223658456,1562 Oak Ave,,Erie,PA,19101,Update,M2,81,CID-100289,Individual,NOTIF-1017,Transfer,20-68522,7,7,2010-01-10,,Discharged,2010-01-11,897338846,Catherine,B,Lopez,,,,,,"4174 Cedar Ln, Apt 2","4174 Cedar Ln, Apt 2",Chicago,IL,61602,555-4153,,,,,,,,,,,,,,,,Hon. Jennifer Martin,N,323769841,Counselor,L,Lawyer,Esq,,,Law Partner,,"3030 Ash Ct, Apt 301","3030 Ash Ct, Apt 301",Tempe,AZ,85001,555-1219,10:00 AM,Federal Building,Rm 491,Allentown,PA,15201,555-2645,Trustee Maria,391 Trustee Way,,Philadelphia,PA,19601,555-7468,NDNY,Northern District,200 Court St,,Philadelphia,PA,19601,555-6351,,N,N,Complex,N,Case Closed,2010-06-25
1000019,GECOM,2010-01-12,Matthew,A,Brown,983945276,"9789 Cedar Ln, Apt 301","9789 Cedar Ln, Apt 301",Tampa,FL,32202,New,P3,80,CID-100306,Corporate,NOTIF-1018,Transfer,24-55251,7,7,2010-01-12,,Dismissed,2010-01-12,633175155,Robert,B,Moore,,,,,,3849 Ash Ct,,Rochester,NY,14202,555-7944,,,,,,,,,,,,,,,,Hon. Michael Brown,N,679433317,Counselor,L,Lawyer,Esq,,,Attorney Pro,,"5128 Elm St, Suite 100","5128 Elm St, Suite 100",Austin,TX,77001,555-7346,10:00 AM,Federal Building,Rm 480,Orlando,FL,33101,555-3307,Trustee Susan,155 Trustee Way,,Jacksonville,FL,33101,555-6928,NDNY,Southern District,200 Court St,,Orlando,FL,33701,555-9107,,Y,N,Standard,N,Case Closed,2010-06-27
1000020,VP,2010-01-12,Donald,C,Wilson,563020978,7082 Spruce St,,Pittsburgh,PA,15201,Update,M3,96,CID-100323,Trust,NOTIF-1019,Bankruptcy,22-51869,11,11,2010-01-12,,Closed,2010-01-12,988808735,Maria,D,Collins,,,,,,"224 Cedar Ln, Apt 301","224 Cedar Ln, Apt 301",Phoenix,AZ,85201,555-1960,,,,,,,,,,,,,,,,Hon. Robert Anderson,Y,489968830,Counselor,L,Lawyer,Esq,,,Legal Expert,,"9347 Ash Ct, Suite 200","9347 Ash Ct, Suite 200",Allentown,PA,19601,555-9132,10:00 AM,Federal Building,Rm 289,Erie,PA,19601,555-6702,Trustee Patricia,391 Trustee Way,,Erie,PA,15201,555-5032,DEC,Southern District,200 Court St,,Philadelphia,PA,15201,555-5114,11-04-2010,N,N,Standard,N,Case in Progress,2010-04-17
